open_time,open,high,low,close,volume,close_time
1740355200000,96218.4,96470.0,96105.5,96202.4,4711.975,1740358799999
1740358800000,96202.4,96300.0,95704.0,95934.2,4072.38,1740362399999
1740362400000,95934.2,96158.6,95708.0,95785.0,2855.39,1740365999999
1740366000000,95785.0,95785.0,95263.0,95388.1,6124.104,1740369599999
1740369600000,95388.0,95545.6,95018.0,95260.6,8433.734,1740373199999
1740373200000,95260.7,95725.9,95200.0,95681.6,3890.349,1740376799999
1740376800000,95681.6,95860.1,95571.1,95821.0,2674.942,1740380399999
1740380400000,95821.1,95918.4,95660.9,95834.2,2644.474,1740383999999
1740384000000,95834.2,95892.4,95345.0,95460.7,4945.718,1740387599999
1740387600000,95460.8,96147.5,95460.0,95711.6,6178.521,1740391199999
1740391200000,95711.7,95872.2,95282.4,95582.9,5046.959,1740394799999
1740394800000,95582.9,95819.0,95355.0,95774.8,3038.29,1740398399999
1740398400000,95774.9,95910.8,95628.1,95747.3,3151.567,1740401999999
1740402000000,95747.4,96055.1,95300.0,95546.1,10528.178,1740405599999
1740405600000,95546.0,95747.9,94529.4,94638.6,17558.183,1740409199999
1740409200000,94638.6,94935.1,93800.0,94295.9,28866.278,1740412799999
1740412800000,94295.9,94950.0,94122.9,94399.9,14121.67,1740416399999
1740416400000,94400.0,95182.3,94288.0,94616.0,9499.48,1740419999999
1740420000000,94616.0,94820.6,94084.3,94122.0,5472.224,1740423599999
1740423600000,94121.9,94536.1,93612.9,93916.1,10499.894,1740427199999
1740427200000,93917.4,94551.1,93795.8,93995.0,8667.714,1740430799999
1740430800000,93994.9,94328.3,93571.4,93957.7,6880.007,1740434399999
1740434400000,93957.7,93976.6,92300.0,92380.2,26155.859,1740437999999
1740438000000,92380.1,92828.6,91300.0,91514.5,21470.86,1740441599999
1740441600000,91514.5,92142.7,90850.0,91825.4,21851.253,1740445199999
1740445200000,91825.3,92375.0,91116.0,91982.0,14172.307,1740448799999
1740448800000,91982.0,92480.0,91545.7,92330.8,8435.292,1740452399999
1740452400000,92330.7,92500.0,91900.0,92125.3,5277.487,1740455999999
1740456000000,92125.3,92287.0,91780.2,91861.1,5642.241,1740459599999
1740459600000,91861.1,92080.0,91676.1,92035.3,4008.925,1740463199999
1740463200000,92035.4,92094.7,91176.0,91245.5,7766.747,1740466799999
1740466800000,91245.5,91400.6,88131.6,89262.9,74680.94,1740470399999
1740470400000,89262.8,89952.0,88943.6,89363.7,16402.273,1740473999999
1740474000000,89364.1,89550.0,88223.8,88267.6,20199.088,1740477599999
1740477600000,88267.5,88852.0,86800.0,88164.5,44378.298,1740481199999
1740481200000,88164.5,89300.0,87567.7,89186.8,19799.261,1740484799999
1740484800000,89186.9,89473.9,88854.1,89350.0,13435.509,1740488399999
1740488400000,89350.0,89499.9,88694.1,88788.1,8610.477,1740491999999
1740492000000,88788.1,89347.6,87036.8,87132.0,31194.626,1740495599999
1740495600000,87132.0,87745.0,86020.4,87206.9,55491.479,1740499199999
1740499200000,87206.8,87745.0,86125.9,87429.0,27402.82,1740502799999
1740502800000,87429.1,87775.0,86788.0,87219.7,16865.243,1740506399999
1740506400000,87219.7,87770.0,86860.0,87032.7,13302.573,1740509999999
